Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
SPPS_landbasedwind_class3_moderate_1,1,0.0,0.005920209208287772,0.023377994332984625,0.03550606808450359,1.0,0.0,0.0010376664450306669,0.01091733681385144,0.005920209208287772,0.018495451569727518,0.023045410565370412
SPPS_landbasedwind_class3_moderate_2,1,0.0,0.00669075758297108,0.022879637952345978,0.030466767502815184,1.0,0.0,0.0014669457363875689,0.013952518654296614,0.00669075758297108,0.017655826105762468,0.021539648204765817
SPPS_landbasedwind_class3_moderate_3,1,0.0,0.004113269686902836,0.015981971003940984,0.016509313193147693,1.0,0.0,0.0011139147746662284,0.012092068616170269,0.004113269686902836,0.012982616091704376,0.012619410805376978
SPPS_landbasedwind_class3_moderate_4,1,0.0,0.002864604451560627,0.005997006987725027,0.005806437207564547,1.0,0.0,0.001281154653124826,0.004312473209833623,0.002864604451560627,0.004413557189289225,0.004121903429673144
SPPS_landbasedwind_class3_moderate_5,1,0.0,0.0021220520790814316,0.004677142750432319,0.004323642608157793,1.0,0.0,0.0009787274041781016,0.0034429311487902776,0.0021220520790814316,0.0035338180755289886,0.0030894310065157516
SPPS_utilitypv_class1_moderate_0,1,0.0,0.08699841021810993,0.2709875170282058,0.7690099134822962,1.0,0.0,0.0016611741492325981,0.08988788370349599,0.08699841021810992,0.18565028095932845,0.5879102801575864
SPPS_utilitypv_class1_moderate_1,1,0.0,13760.650575472404,22461.748163353368,32129.158968757343,1.0,0.0,0.0019279609283961345,13760.65350348661,13760.650575472404,8701.099515841888,23428.064308890585
SPPS_utilitypv_class1_moderate_2,1,0.0,0.010139731683847717,0.026553920308180406,0.04410103787018385,1.0,0.0,0.0013251921473435954,0.013622272485964954,0.010139731683847717,0.017739380771676284,0.0311693900479684
SPPS_utilitypv_class1_moderate_3,1,0.0,0.012280103626465325,0.03106811824760742,0.048915040744382354,1.0,0.0,0.001274859969555158,0.015385028225167241,0.012280103626465325,0.02006287459069725,0.03323195072194218
SPPS_utilitypv_class1_moderate_4,1,0.0,0.005908557351811072,0.016607211013797057,0.021066186654088194,1.0,0.0,0.0010602486913682974,0.008839961768500926,0.005908557351811072,0.011758902353354281,0.01329893740879206
