Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,59,24754.855815989755,78177.75393513388,3782.0454688546665
,,,,,,,,60,23894.42777101835,74858.21054969274,3617.5651037281314
,,,,,,,,61,24190.262588345347,74721.81843476223,3605.529955060336
,,,,,,,,62,24419.91063298224,74559.35135668324,3601.5182388377375
,,,,,,,,63,24153.157882443316,73473.22885322923,3545.3542117213597
,,,,,,,,64,24329.655942950274,73883.40808121879,3571.430367168249
,,,,,,,,65,26003.379028098618,78380.33634113362,3817.147985802403
,,,,,,,,66,28551.569776667788,85343.35438497586,4192.243452615356
,,,,,,,,67,31470.80758425726,94692.23155690405,4678.664044605415
,,,,,,,,68,31123.828442578815,95700.12917091261,4688.693335161911
,,,,,,,,69,27462.496516948733,85131.74603019396,4112.009128163388
,,,,,,,,70,26142.772382703544,80525.50350169512,3870.303225751832
,,,,,,,,71,24349.712540735152,74899.3287608115,3575.4420833908475
,,,,,,,,72,22103.373588828446,67398.76532283136,3208.3700490230917
,,,,,,,,73,20412.602395562953,61311.26431085923,2922.535268162954
,,,,,,,,74,19004.629231064286,56988.83772739962,2717.937740810434
,,,,,,,,75,18318.693586821344,54850.69074922424,2623.662409579371
,,,,,,,,76,17937.6182289086,53751.530764195995,2573.515956796891
,,,,,,,,77,17994.779532595512,54117.58313147274,2597.5862541324814
,,,,,,,,78,18197.351170222813,55557.723403827265,2670.8000751949025
,,,,,,,,79,19821.9355907982,61378.45748512647,2961.6495013332883
,,,,,,,,80,23406.04961495649,72392.12076576531,3549.365927943958
,,,,,,,,81,24874.1925728098,77632.18547541184,3799.09526280071
,,,,,,,,82,24149.14656288634,75128.98901315773,3652.6676206758675
,,,,,,,,83,23517.36373266258,71685.0881111623,3446.0642352120485
,,,,,,,,84,22779.280934178947,69513.84598745231,3339.75375531319
